id,strategy
1829,Approximate h x w
527,"I counted the number of people on the top row, then multiplied it by the number of rows in the stadium. Lastly I just rounded it a bit less since the rows below did not have that many people."
956,Estimate around 20 rows in each section with about 100 people across
1770,I just went with my first instinct.
1150,"Roughly worked out how much space 10 people took up, then estimated how many groups of 10 were in the picture."
1208,My old high school had about 1400 students and we had assemblies in the gym. I assumed about half of us (700) fit on the bleachers and guessed based off that.
706,I counted a few people and then gave a quick estimate.
1273,"I divided it into two groups, I made an imaginary rectangle of 100 people at the top where there were more people and at the bottom I made a larger one because there were fewer people."
238,I split the crowd to 2 section. Estimate rows and column by multiple of 5 for both separately according to perceived density.
198,I tried to count the blue spots and multiply by the corners.
778,Counted the rows of people and mulitplied 
553,Count around 50 people and after seeing how much of a space they take tried to count that how many groups of 50 fit in the picture.
931,Tried to count number of people in a small square and multiply this by the whole area
1713,"First I estimated a random group of people then looked at how much of the screen it took up, so 10 people and it was a small portion. Then I checked how many rows and also realized that one side would be denser due to distance from camera. Finally I counter one of the shortest rows to see how many where at the bottom and then guestimate how many rows to make sure my guess was sound."
948,"Firstly tried to count the rows of people, then tried to estimate how many might be in an average."
1668,i guessed that was probably 10% of the stadium
1674,"Had a brief look at one section, counting as best could and multiplying by 2-3"
1364,"tried to count people in small square, counted 30 then counted that it is 10 squares like this horizontally and 11 verticall multiplied 30*10*11"
587,"Iâve figured from the distance of the picture taken, regarding the size of an average person it would seem reasonable to believe my estimation would suffice."
703,I tried to imagine venues I've been in and tried to compare.
325,Tried to estimate how many people were in a small area of the picture and estimate on the whole after
828,"I tried to calculate roughly the number of people in one row and the number of rows, then multiply."
1522,"Did a quick count but it was hard since there was too many, so I made the best educated guess"
679,First  tried to estimate how many people across and how many rows down to calculate.
113,"I assumed that there are 10 people sitting in a row in every section, then I counted the number of rows per section and estimated the number of sections in the picture."
845,I used my gut feeling.
1902,"Estimated number of people per row, then number of rows in a section. Then number of sections."
227,"I estimated how many people would fit in each row, then how many in each column, and multiplied them by each other."
324,I tried to count the biggest group first from left to right. Then I counted them from top to bottom. That's how I came up with the number. 
517,I just made a guess. I looked at the number of blue dots across and right down. Thereafter I made my guess 
680,I counted 10 blue dots and then tried to roughly count 10 by 10.
729,uneducated guess 
1855,"I counted 10 people in a row, then tried to estimate how many times 10 fit in one row, and then multiplied that with an approximation of rows"
235,going on previous crowds i have saw
348,I actually counted few dots on the first row which gave me an insight on the estimation that each row may be. This lead to my final guess or estimation of the number of the crowd in the picture.
218,based on my knowledge on stadiums and roughly estimating the average of people in the area I gathered the final value
943,i just went by intuition to be honest
1264,"At first I tried to count the number of people, but I eventually gave up and just took a guess."
1684,I counted a small group of 10 and saw how many of those areas would fit in the image.
815,I remembered when I went to an event where there were a thousand people. I thought there looked like about five times as many people in the photo.
650,"estimated the size of a 10-person group, by photo scale, then expanded to a 100 line along a row, then counted rows approximately"
1742,I counted a couple of people on the top row then multiplied that by 20
39,"I took one most detailed section on bottom left and di an good estimate, then multiplied that by how many similar sections there were in the photo."
626,"Tried to count a row across then down, but the images too small. I then tried the blue dots covering faces, but blurred. I gave up on both and just gave random number that came to me."
1588,Just estimated the whole picture. No real strategy.
1223,A guesstimate 
299,I roughly compared the portion of a stadium to a stadium i know the capacity and size of.
454,"just looked more or less how many people where in a certain area, and tried to estimate how many people where in the picture based on that"
562,I looked at the picture and estimated about 10000 people in the crowd.
366,"Tried not to overthink too much as counting them would be next to impossible. I tried to estimate a row first, and then multiplied that number to get the total"
1202,I skim counted a few then realised the magnitude of how many must actually be presenf 
987,I just say a lot of heads and took a guess.
1316,I just guessed what I thought was a reasonable number
1759,"I counted the first rows and did some maths. Because I can't count the people at the back since they are too far, I put an estimated number. "
367,I assumed a density and cluster of groups. Based on the stadium size I had my answer. 
89,"I took into consideration the average size of a person, as we as a rough eye measurement of the length and width of the room. "
405,I just guessed. I thought about counting the rows but it was too tricky so I just estimated it based on that it looked like more than 1000 so I went for 2000
1862,I estimated how many people were in one section and then multiplied it by the number of sections. 
9,"I just estimated by how closed packed they are, they're squeezed next to each other. It looked like there were 2 people for every one seat."
1106,"I tried to count at least a couple of rows, and roughly multiplied by the number of visible rows. It's a crude system, but in this way I at least intuited a vague number that could be consistent with the photograph."
388,I estimated the number of people in one row and then multiplied it by estimated number of rows.
14,I counted how many people were in a small section of the picture and guessed how many of that small section might fill the picture completely.
1444,I grouped approx 100 people together then counted in 100s
1233,I imagined similar venues that I have went to
28,"picked square and 1/10 each way, counted blue dots and multiplyed by 100"
1523,An estimate by looking at the rows and seat in the rows.
1813,I tried to group about 10 dots and see how big that space would be and then estimated using that space.
1614,calculated roughly how many people were in a square of the pic and then tried to apply to rest of the pic
786,"Just went with my gut, counted a small area then estimated"
154,Looked at the dots in one corner and made a guess
187,"I roughly counted the top row of people (blue dots), then roughly counted the blue dots of the left side of the picture, multiplied the two numbers together and added something extra to that result."
1275,"Estimating how many person per row, and how many seating row's there are. Also using the audience size of tennis game arena and soccer arena as reference size."
1294,I just took an educated guess. Estimated 16-25 per line.
762,"I took a look at how many rows, and approximated how many people would fit in the area"
496,"I quickly counted the dotted heads in top-left corner (~30) and did a rather sloppy, ad-hoc math (~2500), then arbitrarily subtracted 500 because of lower density in bottom half."
406,I have been to many large sporting events at large stadiums and have rough idea of how many people are in a block of seats.
720,I tried to look at the number of lines and gave a rough estimate per section. multipled by estimation to the rest in the picture.
1488,"It's a stadium so there must be a lot of people but only on the picture 6-10k would be too much and anything below 2k for sure would be too little so looking how small people in the back were my best estimation was around 4,5k people"
340,Took a rough estimate.
582,I made a guess from the number of rows and columns in a seating group
674,I roughly counted a square of 100 and multiplied it by how many times bigger the picture was.
1628,"I vaguely counted how many spectators sit in a single row. Afterwards, I multiplied it by vaguely the number of rows I could see."
1203,I tried to estimate how many may be in a row then times it by how many rows and added a few hundred to be sure 
997,counted number of people along each edge the calculated person per area
1388,I looked at the crowd and compared it to a crowd of football fans and thus estimated the number.
993,"I took the rough average seating size of a small arena, and roughly estimated a small section fully packed."
1806,I calculated how many people approximately are in 1/4 of the image and multiply
800,I imagined the scene being art of a capacity crowd at a football stadium and guessed from there.
1005,"i tried to estimate a square that could represent a single person with adjusting as the point of view makes a difference in that. after that i divided the borders of the photo into sides of these squares and multiply side a with b like an area of rectangle. after that I just added a little bit of randomness to it, whatever came to my mind"
1201,I tried to estimate the number of points in one zone and guess the rest of it based on it.
259,Roughly estimated how many in a row and then roughly estimated the amount of rows
1171,"I used to DJ st lsrge clubs and events many years ago. At the time, I was very good at estimating crowd sizes so i just tried to tap into that. Who knows if I can still do it or not?"
1888,I just eyeballed it and gave my best guess.
358,"Worked out the direct of ten people, then guessed. "
781,i started counting then i tought that maybe trying a lucky guess wasnt bad
1045,Counting Approximately How Many There Are in 1 Linear Centimeter x The Number of Centimeters of the Total Image.
1544,"I thought about a local arena in my city (around 20,000 seat capacity) and deduced that this would be around 1/10 of the size"
1177,"I counted one row"" of people and counted based on that. Mentally I separated the top and bottom part of the picture because the top seemed denser."""
1670,Thought about my football teams stadium. (fenerbahÃ§e estismted 55.000) I divided into four pieces and wide sides are est 16000 . But pictures was less than half. So approximately I guessed it.
1303,i guessed the amount
336,I was trying to check how many lines the picture was showing 
1404,I looked at a picture with a stadium with several individuals. My job was to determine how many individuals were in the stadium 
268,"i assumed this was a stadium, then thought about how many people can a small stadium hold and just guessed a fraction of it"
1581,Tried to count the blue dots of a row and then multiple by the number of lines 
1762,I counted very roughly how many people horizontally there could be in each row and then I counted vertically to know how many rows there were and then I multiplied the numbers.
1129,"I counted 10 people in one of the lower, closest rows in the picture. Then, from the size on the row, I estimated how many people were in a row. Then I did a very rough count of all the rows in the picture."
967,"i calculated the number of person in a diagonal and vertical , the multiplate them "
260,Counted The first row of people @100 .Times by 40. Less half of people in a few bottom rows
202,"I watch football (soccer), and can estimate the amount of people when I see them at the stands. Although I am not always accurate."
389,Counted blue dots along bottom and top and the made a rough guess based on that
637,looked at how many were in each row and then multiplied by the number of rows
95,counted lines also considered that it is ususally more than seems like
1622,Just by pure guessing
1730,I counted as many people in one of the rows as I could then estimated from there how many it looked like among the other rows.
1428,"I made a rough estimate of how many people there were in each row and how many there were, I didn't count the lower ones and just added a flat number to the estimate to round up."
1717,i guessed and then i looked at an areaband guessed again
24,"I roughly tried to count how many was on the line and then counted the amount of rows and then roughly guessed what that doubled would be, and guesstimated from there!"
1229,I thought back to when I went to a concert at a stadium and tried to estimate who many people were there in comparison to my experience. I also just tried to use my best judgment to guess how many people there were. 
1032,"I roughly looked at the number of rows and then people in each row, but I realised it's a difficult thing to do. I thought about the capacity of stadiums I know and tried to look at it this way, as a certain portion of a stadium."
1095,"counted a small area, x by howmany of those area I thought there were"
1503,"I made a guess on the number of rows, then guessed the number in each row. I compared this with how many might be in a football crowd and added a zero to my first number"
996,I started by counting the amount of blue dots in the biggest line. I then counted how many rows of people there were. I used my best guess based on the amount of people in the biggest line to guess an appropriate number of people within the photo.
300,"I think what I did is count people in a small"" square and multiply it in my head by the number of squares I think the photo had. So more or less that but I think I put low number.”"
1884,Counted the first group in the right hand corner then continued to double the estimate each section
621,"One row on the bottom was about 150 people, there are about 20 rows on the bottom, top looked like 2x of whats at the bottom."
1640,"I thought of high school and the crowds that would watch sporting events, we were a school of 1200 and I just used that as a reference to estimate"
1896,I count the persons by queue and after that i multiple by the columns
938,i just looked at the picture and guess
363,Just made a calculation based in what i was seeing
557,have watched a number of games with commentators giving crowd numbers
1893,counted a small area and then calculated it from there
301,"I used my vague idea of the capacity of an arena resembling that, and tried to guess how many people a slice of that size would hold."
783,I estimated based on the amount of dots along the top and side while trying to account for gaps with the walk ways and raised area. 
224,had to estimate the number of people in a section of crowd at a sporting event/concert.
796,"I counted the size of a 10 people group and saw how many groups fitted in 1/4 of the crowd, it was around 500 people. Multiplied by 4 but put some people less because not every 1/4 sector of the picture had the same density of people."
220,"I roughly estimated the amount of people in 1 row, then roughly estimated the amount of rows. Accounting for some kind of variability because of the uneven distribution of people."
659,Vague blue dot count by blocks.
93,I just tried to guess at first sight
273,counted just over two hundred people in the top section so I assumed it was more than double in the bottom.
437,"I divided the pictures in 16 parts. I calculated (aprox) that there were 90 people in each part, so I just multiplied it."
766,"I looked at the picture, tried to understand and guess how many rows were in the image and then I multiplied them by an approximate numer per row"
923,I just made small groups where i estimated how many people are in each group then i multiplied those groups
1429,I tried to eyeball about 30 people and keep adding them together and when done I added a random amount
696,counted a small area of 10 people multiplied by 10 then visually counted large sections of 100
1864,"Not much, guessed that the bottom half was a couple of thousand then doubled it"
305,I took a square of what I roughly estimated to contain 100 people then multiplied it by how much bigger I thought the picture was
1449,I counted around how many rows there were. Estimated around how many people were in each row and then multiplied it by the number of rows.
1456,I took the average people in row volume and roughly counted how many rows there were. I then did number of people x rows
1736,I
771,Tried to guess how many people are in a row but got difficult with the people in the upper end
1521,"Count a people of 50, and after I tried to count the amount of space 50 people takes in the picture."
913,Estimating people per column and estimating amount of columns
374,I had a look to see if there were any empty seats. I also looked at how many rows may be at the stadium.
563,I roughly counted a single row close to the bottom. Then I counted the number of rows I see. Multiplied these numbers. Then I wanted to account for the perspective by multiplying it with 2-3. And finally adjusted my guess intuitively.
560,Counted dots at the bottom. Counted dots in the left without the area with higher intensity. Multiplied. Added approximate amount of blue dots in a higher density area.
1411,Tried to guess how many people can fit in one row and then multiplied it seemingly randomly 
586,"Counted roughly 10 people,  then ten times the same amount of space to make a hundred, then roughly counted the same size of space to make 3000?"
1464,Tried counting how many people were in one row and how many in one collumn and multiply it.
894,I did a rough count of the people in the row then counted the rows.
581,"Counting a dozen heads, and estimating the size of that cluster of heads. Use that estimate to see how many times I can fit it in the picture."
1236,"I basically eye-balled it by taking a guess on the lower density of people on the lower stands, and the higher density on the upper one."
734,Roughly counted a small square of people and then guesstemated the amount of squares that would be in the whole picture
1527,Tried to count how many people in a row then determine how many rows
449,"Looked at how many rows, then estimated how many on average on each row. Multiplied those two figures by each other, then rounded up to the nearest nice round number."
1102,I counted the rows and multiplied them
1774,"I counted a tiny portion of the picture, roughly 1% of it, and then muliply it to get 100%"
1410,"the picture reminded me of how we looked during school events, so i just estimated that the amount would be around the same "
343,Mainly guessing seeing the amount on the biggest clusters of people
429,i counted a small portion and then i escalated the number
1037,"I just looked at the number of people in a small area, and then multiplied it up across the picture."
1243,I tried to count the number of people in one column. Inthen went on to roughly count the rows on the app. I then multiplied the number of rows by the number of columns. 
1128,i counted 10 and then used that to estimate
1761,I estimated how many people were standing per row then counted. I figured the ones are above are more or less the same and multiplied by 2
653,I tried to focus on a small part of the image and counted the dots in that part. Then I multiplied that number for the total parts of the image.
311,I imagined how many people fit in a stadium and compared the size of the crowd to a full stadium
191,Try counting the heads at horizontaly at top and multiplying it by the number of heads vertically
1842,"I counted the rows to have been approx. 30 people deep and then counted the rows across which took me to around 1200, then added another 300 due to the perspective of the photo for those in the far distance I was unable to see clearly."
214,counted rows and then counted columns to the best of my ability
951,I started to count out ten people and guestimate how many batches would fill the picture
1651,Compared to the size of an assembly from when I was at schooll
893,I focused on the blue dots which helped and guessed
1281,Estimate of the rows and average number of people per row. And then multiplied the two numbers
434,i made an educated guess. i counted a small segment to see how many are in there and then guessed how many segments were in the total picture. 
1046,approximately counted a number of people in a portion of the image then multiplied
712,I guessed about 10 people per little area and then counted each similar sized area
1363,picked a square size with approximately 10 people and multiplied by how many squares are in the photo
1765,number horizontal times number vertical
511,just guessed
1564,counted an approximate number of people per row which was around 20 and then estimated the number of rows i saw
671,I made a guess.
1746,Just look at the people and was like oh it seems like something like this
213,"I counted 10 people in a small area and then measured the length of that area. I estimated the number of people in both the width and length of the picture. Finally, I multiplied those two numbers."
1669,I thought about football crowds t matches that I have intended and tried to interpolate
1848,"What I did to estimate how many people were in the picture was add up the number of blue dots on the bottom, and make that number slightly higher (Because the bottom row is short) and then roughly square that number. "
490,"I divide the sections into 2. The top section had more people than the bottom. I counted the people in a small area ""a strip both at the top and at the bottom. I then counted the number of strips in the picture. I multiped the number of people at the top by the number of strips. I did the same with the people at the bottom and then added the totals of the top and the bottom together."""
689,"Divide the image into equal rectangles, then count how many points there were in one rectangle and estimate that it would be the same for the others. clearly the top half has more so I did the same for the bottom half but counting again"
495,Just counted a one corner and based on this i guessed my number 
1623,I just did my best guesstimate from visual looking at the picture
1043,"I estimated the amount of people in each row by counting, and extrapolating what I saw. after that I counted the number of columns, and multiplied the two numbers together."
433,I Viewed using the blue dots on each heads. Also the knowledge of the size of stadiums and the number of people it can take.
1463,saw average size 10 people took and saw how many there are others
1638,"I tried figuring out the area of a cluster"" of dots. For each area"
1085,"Upper level were more dense, I counted 10 precisely and estimated 9 other area with about he same dot count so I got a 100. I put this 100 area as many times as I could at the upper section. I did the same with the lower level."
1574,i first tried to count to see if they are more than a 100 and to see how many 100s i could see. then i tried to picture if they could be the same size of a small town
1081,I count how many the line of people and have a rough guess
1555,I tried to estimate the number of people in the picture just looking at it.
899,look at the picture and say how many people approximately are in the picture
975,"Whenever I try to estimate the number of objects somewhere, I try to look at the entire thing first to get a sense of the space. Then I just briefly counted the people on the highest and lowest areas and just did my best to imagine the number of people filling up the rest of the space."
74,I tried to count the row an roughly timed them by each other 
549,I counted how many people is in a small square (roughly 1/20 of the photo) then multiply my count
1836,estimated by seeing how much  10 looked like and then guessed roughly
316,Tried to estimate the amount of people in a row and then amount of rows.
466,I imagine a stadium of a football club that usually have 40000 to 50000 and tried to imagine the picture as a piece of the stadium
735,I just thought about how many people could be in a stadium and guessed. 
1672,"Roughly 15 rows deep by about 150 people from left to right. So 150 x 15 = 2250. But, it's really impossible to judge."
862,I tried to quickly count rows and columns
1571,I counted people in a row and timed it by however many rows fitted.
1886,"I counted some of the blue dots, tried to estimate how many rows."
1060,scanned it quickly
701,"I counted a sample row of 65 people, and counted a sample column of 20 rows, and tried to account for the view being at an angle so multiplied 65 by 20, then rounded down."
359,judged how many were in a 1cm row and multiplied
1639,"I just think it was atleast a thousand people or two thousand, so put a number in the middle 1500"
1658,I broke the crowd down into sections and guessed there was twenty in each section 
1436,I counted about 25 people and tried to count how many groups of 25 people would fit in the picture.
1368,"I counted the amount of people in a specific area, and then tried to guess how many of those areas could fit in the picture. I then multipled the numbers to reach an estimate number. My initial guess was also close to this number."
936,"I tried to group the blue dots into groups of 10 and sort of do a rough estimate, I knew it had to be more than 100 with how many dots there were"
1846,"I counted some of the heads, realized such a large amount seems very small still, and guessed a number that seems reasonable in my head."
1445,I took my time and thought about it before I made a decision. But it didnt take long so I was not thinking too deeply about it.
247,estimated how many people were in a line and multiplied how many lines I could see more or less
1088,I counted how many people there are on average vertically and horizontally and multiplied it
1546,counted rows and then multiplied by the aproximate number of people in one line of seats
1423,Rough estimate of vertical x horizontal
275,"I tried to see the one person up close, then estimated the size of the picture... I made an educated guess based on that criteria."
315,"I count ten dots, an made an estimation according its area"
72,"It looked like a third of a stadium, which I think would be about twenty thousand people."
1332,I took a look at the picture and estimated how many people were seated in the space/room.
293,I just focused on the amount of bodies I could see and less on the dots.
1260,I attempted to count the number of rows and scanned across to guess at the number of people in each row
1004,tried to gauge the number or rows and people per row
1158,I just count the line and have a rough estimate 
1019,"I counted, roughly, the number of people sitting in each row, and later on multiplied the two numbers."
1710,Just skimmed through the number of dots and tried to think about how many looks like 100 people and estiamted.
1687,"I basically tried seeing that there was some parts where there were a lot of dots and some with sparse, I counted a small chunk of both and tried to just wing it with a guess"
537,scanned one row and multiplied it by the number of rows and then added a few on for good luck.
1659,Just counted ten people and guesstimated the rest based on how much place they occupied.
645,"I felt too overwhelmed to count, even for a small sample number. So I just guessed "
